"_id","CODI_ENS","MUNICIPI","COMARCA","ANY_ELECCIO","SIGLES","NOM","VOTS","VOTS_PERCENT","REGIDORS"
"7002","805430008","Castellbisbal","Vallès Occidental","2023","ALTpCB - C","ALTpCB - C","1577","28.94","5"
"7003","805430008","Castellbisbal","Vallès Occidental","2023","CP","CP","1350","24.77","5"
"7004","805430008","Castellbisbal","Vallès Occidental","2023","SOM VE","SOM VE","835","15.32","3"
"7005","805430008","Castellbisbal","Vallès Occidental","2023","CM","CM","539","9.89","2"
"7006","805430008","Castellbisbal","Vallès Occidental","2023","ERC-AM","ERC-AM","414","7.59","1"
"7007","805430008","Castellbisbal","Vallès Occidental","2023","VOX","VOX","325","5.96","1"
"7008","805430008","Castellbisbal","Vallès Occidental","2023","CUP-AMUNT","CUP-AMUNT","180","3.3","0"
"7009","805430008","Castellbisbal","Vallès Occidental","2023","Cs","Cs","161","2.95","0"
"7010","805430008","Castellbisbal","Vallès Occidental","2019","ALTpCB-ECG","ALTpCB-ECG","1900","31.29","6"
"7011","805430008","Castellbisbal","Vallès Occidental","2019","PSC-CP","PSC-CP","1737","28.61","5"
"7012","805430008","Castellbisbal","Vallès Occidental","2019","ERC-AM","ERC-AM","701","11.54","2"
"7013","805430008","Castellbisbal","Vallès Occidental","2019","Cs","Cs","593","9.77","2"
"7014","805430008","Castellbisbal","Vallès Occidental","2019","CUP-AMUNT","CUP-AMUNT","411","6.77","1"
"7015","805430008","Castellbisbal","Vallès Occidental","2019","JxCAT-JUNTS","JxCAT-JUNTS","401","6.6","1"
"7016","805430008","Castellbisbal","Vallès Occidental","2019","PODEMOS","PODEMOS","280","4.61","0"
"7017","805430008","Castellbisbal","Vallès Occidental","2015","ALTpCB - E","Alternativa per Castellbisbal - Entesa","1658","30.53","6"
"7018","805430008","Castellbisbal","Vallès Occidental","2015","PSC-CP","Partit dels Socialistes de Catalunya-Candidatura de Progrés","1413","26.02","5"
"7019","805430008","Castellbisbal","Vallès Occidental","2015","ERC-AM","Esquerra Republicana de Catalunya-Acord Municipal","785","14.45","3"
"7020","805430008","Castellbisbal","Vallès Occidental","2015","CiU","Convergència i Unió","783","14.42","2"
"7021","805430008","Castellbisbal","Vallès Occidental","2015","C's","Ciutadans-Partido de la Ciudadanía","432","7.95","1"
"7022","805430008","Castellbisbal","Vallès Occidental","2015","PP","Partit Popular","271","4.99","0"
"7023","805430008","Castellbisbal","Vallès Occidental","2011","PSC-PM","PSC-Progrés Municipal","1465","28.1","6"
"7024","805430008","Castellbisbal","Vallès Occidental","2011","ALTpCB","Alternativa per Castellbisbal","1261","24.18","5"
"7025","805430008","Castellbisbal","Vallès Occidental","2011","CiU","Convergència i Unió","1180","22.63","4"
"7026","805430008","Castellbisbal","Vallès Occidental","2011","PP","Partit Popular","515","9.88","2"
"7027","805430008","Castellbisbal","Vallès Occidental","2011","TxC","Transparència per Castellbisbal","258","4.95","0"
"7028","805430008","Castellbisbal","Vallès Occidental","2011","ESQ-RI-AM","Esquerra Republicana de Catalunya-Reagrupament-AM","192","3.68","0"
"7029","805430008","Castellbisbal","Vallès Occidental","2011","ICV-EUiA-E","Iniciativa per Catalunya Verds - EUiA - Entesa","171","3.28","0"
"7030","805430008","Castellbisbal","Vallès Occidental","2007","PSC-PM","PARTIT DELS SOCIALISTES DE CATALUNYA - PM","1560","31.06","6"
"7031","805430008","Castellbisbal","Vallès Occidental","2007","ALTPCB","ALTERNATIVA PER CASTELLBISBAL","1222","24.33","5"
"7032","805430008","Castellbisbal","Vallès Occidental","2007","CIU","CONVERGÈNCIA I UNIÓ","787","15.67","3"
"7033","805430008","Castellbisbal","Vallès Occidental","2007","TXC-FIC","TRANSPARÈNCIA PER CASTELLBISBAL","493","9.81","2"
"7034","805430008","Castellbisbal","Vallès Occidental","2007","ESQUERRA-AM","ESQUERRA REPUBLICANA DE CATALUNYA - AM","285","5.67","1"
"7035","805430008","Castellbisbal","Vallès Occidental","2007","PP","PARTIDO POPULAR / PARTIT POPULAR","249","4.96","0"
"7036","805430008","Castellbisbal","Vallès Occidental","2007","ICV-EUIA-EPM","INICIATIVA PER CATALUNYA - VERDS - EUiA - EPM","192","3.82","0"
"7037","805430008","Castellbisbal","Vallès Occidental","2007","C'S","CIUTADANS - PARTIDO DE LA CIUDADANÍA","128","2.55","0"
"7038","805430008","Castellbisbal","Vallès Occidental","2003","A.C.","Alternativa per Castellbisbal","2142","43.52","7"
"7039","805430008","Castellbisbal","Vallès Occidental","2003","CIU","Convergència i Unió","1026","20.85","3"
"7040","805430008","Castellbisbal","Vallès Occidental","2003","PSC-PM","Partit Socialistes de Catalunya-Progrés Municipal","954","19.38","3"
"7041","805430008","Castellbisbal","Vallès Occidental","2003","ERC-AM","Esquerra Republicana de Catalunya-Acord Municipal","292","5.93","0"
"7042","805430008","Castellbisbal","Vallès Occidental","2003","ICV-EPM","ICV-Esquerra Alternativa-EPM","264","5.36","0"
"7043","805430008","Castellbisbal","Vallès Occidental","2003","PP","Partit Popular de Catalunya","192","3.9","0"
"7044","805430008","Castellbisbal","Vallès Occidental","2003","P.DE.P.","Partido Democrático del Pueblo","4","0.08","0"
"7045","805430008","Castellbisbal","Vallès Occidental","1999","AC","Alternativa per Castellbisbal","2018","53.54","8"
"7046","805430008","Castellbisbal","Vallès Occidental","1999","PSCPMC","PSC Progrés Municipal de Catalunya","868","23.02","3"
"7047","805430008","Castellbisbal","Vallès Occidental","1999","CIU","Convergència i Unió","556","14.75","2"
"7048","805430008","Castellbisbal","Vallès Occidental","1999","IC-V-EPM","Inic. per Catalunya-Verds-Ent. pel Prog. Munic.","155","4.11","0"
"7049","805430008","Castellbisbal","Vallès Occidental","1999","PP","Partit Popular","82","2.17","0"
"7050","805430008","Castellbisbal","Vallès Occidental","1995","AC","Alternativa per Castellbisbal","1384","42.88","6"
"7051","805430008","Castellbisbal","Vallès Occidental","1995","PSC (PSC-PSOE)","Partit dels Socialistes de Catalunya-PSOE","876","27.14","4"
"7052","805430008","Castellbisbal","Vallès Occidental","1995","CIU","Convergència i Unió","412","12.76","2"
"7053","805430008","Castellbisbal","Vallès Occidental","1995","IC-EV","Iniciativa per Catalunya-Els Verds","337","10.44","1"
"7054","805430008","Castellbisbal","Vallès Occidental","1995","PP","Partit Popular","164","5.08","0"
"7055","805430008","Castellbisbal","Vallès Occidental","1991","PSC-PSOE","Partit dels Socialistes de Catalunya-PSOE","732","29.74","4"
"7056","805430008","Castellbisbal","Vallès Occidental","1991","AC","Alternativa per Castellbisbal","689","28","4"
"7057","805430008","Castellbisbal","Vallès Occidental","1991","CiU","Convergència i Unió","497","20.2","2"
"7058","805430008","Castellbisbal","Vallès Occidental","1991","IC","Iniciativa per Catalunya","298","12.11","1"
"7059","805430008","Castellbisbal","Vallès Occidental","1991","C.IND.","Candidatura Independent","113","4.59","0"
"7060","805430008","Castellbisbal","Vallès Occidental","1991","ERC","Esquerra Republicana de Catalunya","74","3.01","0"
"7061","805430008","Castellbisbal","Vallès Occidental","1991","PP","Partit Popular","45","1.83","0"
"7062","805430008","Castellbisbal","Vallès Occidental","1987","CiU","Convergència i Unió","1048","46.41","5"
"7063","805430008","Castellbisbal","Vallès Occidental","1987","PSC-PSOE","Partit dels Socialistes de Catalunya-PSOE","967","42.83","5"
"7064","805430008","Castellbisbal","Vallès Occidental","1987","IC","Iniciativa per Catalunya","191","8.46","1"
"7065","805430008","Castellbisbal","Vallès Occidental","1983","C.IND.","Candidatura Independent de Castellbisbal","526","38.82","5"
"7066","805430008","Castellbisbal","Vallès Occidental","1983","PSC-PSOE","Partit dels Socialistes de Catalunya-PSOE","522","38.52","4"
"7067","805430008","Castellbisbal","Vallès Occidental","1983","CiU","Convergència i Unió","136","10.04","1"
"7068","805430008","Castellbisbal","Vallès Occidental","1983","PSUC","Partit Socialista Unificat de Catalunya","127","9.37","1"
"7069","805430008","Castellbisbal","Vallès Occidental","1983","PCC","Partit dels Comunistes de Catalunya","34","2.51","0"
"7070","805430008","Castellbisbal","Vallès Occidental","1979","C.IND.","Candidatura Independent de Castellbisbal","643","39.99","5"
"7071","805430008","Castellbisbal","Vallès Occidental","1979","PSUC","Partit Socialista Unificat de Catalunya","383","23.82","3"
"7072","805430008","Castellbisbal","Vallès Occidental","1979","PSC-PSOE","Partit dels Socialistes de Catalunya-PSOE","358","22.26","2"
"7073","805430008","Castellbisbal","Vallès Occidental","1979","CiU","Convergència i Unió","223","13.87","1"
